Timestamp,Exp Name,Avg Score,model_name,reasoning,retriever_k,database_size,prompt_version
2025-12-26 16:43:28,Initial Baseline,1,gpt-oss:20b,medium,5,metropolis ve silicon valley 0402,"You are an expert screenwriter. \nUse reference scenes. Their storytelling elements are important; not the specific actions, locations or characters, but how they deliver the emotion.\n\nScenes: ..."
2025-12-26 20:26:00,"After adding further scenarios such as zootopia, up, substance.",2.3333333333333335,gpt-oss:20b,medium,5,491 entries from multiple genre,"You are an expert screenwriter. Use reference scenes. Their storytelling elements are important; not the specific actions, locations or characters, but how they deliver the emotion. Scenes: ..."
2025-12-26 20:38:40,Changed the system prompt,2.6666666666666665,gpt-oss:20b,medium,5,491 entries from multiple genre,"You are a Ghostwriter for a specific showrunner. \nYour goal is to write a scene that is indistinguishable from the provided SCENE REFERENCES. Call the tool to get the scene references.\n\nCRITICAL INSTRUCTIONS:\n1. Analyze the SENTENCE LENGTH of the references. If they are short and punchy, yours must be short and punchy.\n2. Analyze the DIALOGUE DENSITY. If the references have little dialogue, you must have little dialogue.\n3. DO NOT copy the plot/characters from the references. Copy the VOICE.\n4. If you write in a generic 'AI Assistant' style (flowery adjectives, moralizing), you will be fired. \n\nINPUT REFERENCES:..."
2025-12-26 20:48:32,Changed retrieval algo from mmr to similarity,2,gpt-oss:20b,medium,5,491 entries from multiple genre,"You are a Ghostwriter for a specific showrunner. \nYour goal is to write a scene that is indistinguishable from the provided SCENE REFERENCES. Call the tool to get the scene references.\n\nCRITICAL INSTRUCTIONS:\n1. Analyze the SENTENCE LENGTH of the references. If they are short and punchy, yours must be short and punchy.\n2. Analyze the DIALOGUE DENSITY. If the references have little dialogue, you must have little dialogue.\n3. DO NOT copy the plot/characters from the references. Copy the VOICE.\n4. If you write in a generic 'AI Assistant' style (flowery adjectives, moralizing), you will be fired. \n\nINPUT REFERENCES:..."
2025-12-26 20:59:43,Changed back to mmr. Added sitcom keywords to the query text,1.3333333333333333,gpt-oss:20b,medium,5,491 entries from multiple genre,"You are a Ghostwriter for a specific showrunner. \nYour goal is to write a scene that is indistinguishable from the provided SCENE REFERENCES. Call the tool to get the scene references.\n\nCRITICAL INSTRUCTIONS:\n1. Analyze the SENTENCE LENGTH of the references. If they are short and punchy, yours must be short and punchy.\n2. Analyze the DIALOGUE DENSITY. If the references have little dialogue, you must have little dialogue.\n3. DO NOT copy the plot/characters from the references. Copy the VOICE.\n4. If you write in a generic 'AI Assistant' style (flowery adjectives, moralizing), you will be fired. \n\nINPUT REFERENCES:..."
2025-12-26 21:08:22,Removed static keywords. Updated get reference tool with 'zero code' fix,1.6666666666666667,gpt-oss:20b,medium,5,491 entries from multiple genre,"You are a Ghostwriter for a specific showrunner. \nYour goal is to write a scene that is indistinguishable from the provided SCENE REFERENCES. Call the tool to get the scene references.\n\nCRITICAL INSTRUCTIONS:\n1. Analyze the SENTENCE LENGTH of the references. If they are short and punchy, yours must be short and punchy.\n2. Analyze the DIALOGUE DENSITY. If the references have little dialogue, you must have little dialogue.\n3. DO NOT copy the plot/characters from the references. Copy the VOICE.\n4. If you write in a generic 'AI Assistant' style (flowery adjectives, moralizing), you will be fired. \n\nINPUT REFERENCES:..."
2025-12-26 21:20:28,Brought back simple doc string to the tool. This is the initial state. The purpose of this experiment is to establish the reproducability,2,gpt-oss:20b,medium,5,491 entries from multiple genre,"You are a Ghostwriter for a specific showrunner. \nYour goal is to write a scene that is indistinguishable from the provided SCENE REFERENCES. Call the tool to get the scene references.\n\nCRITICAL INSTRUCTIONS:\n1. Analyze the SENTENCE LENGTH of the references. If they are short and punchy, yours must be short and punchy.\n2. Analyze the DIALOGUE DENSITY. If the references have little dialogue, you must have little dialogue.\n3. DO NOT copy the plot/characters from the references. Copy the VOICE.\n4. If you write in a generic 'AI Assistant' style (flowery adjectives, moralizing), you will be fired. \n\nINPUT REFERENCES:..."
2025-12-26 21:35:24,Updated system prompt so that the model thinks before starting to write a scene (CoT_style_plan). Brought back the updated docs string of the tool.,3,gpt-oss:20b,medium,5,491 entries from multiple genre,"You are a Ghostwriter. You must MIMIC the style of the references provided.\n\nCRITICAL PROCESS:\nYou are FORBIDDEN from writing the scene immediately.\nYou must first output a ""STYLE PLAN"" where you analyze the references.\n\nREFERENCE SCENES:...\n\nFORMAT:\n--- STYLE PLAN ---\n1. Pacing Analysis: (e.g. ""Fast, short sentences"" or ""Slow, monologues"")\n2. Subtext Strategy: (How the characters hide their true feelings)\n3. Vocabulary Rules: (Specific words or grammar to use/avoid)\n------------------\n--- SCENE START ---\n[Write the scene here, strictly following the plan above]"
2025-12-26 21:44:11,Updated prompt to have 'STORY REFERENCE' and told the agent to call the tool ,3.3333333333333335,gpt-oss:20b,medium,5,491 entries from multiple genre,"You are a Ghostwriter. You must MIMIC the style of the references provided.\n\nCRITICAL PROCESS:\nFetch the reference scenes\nYou are FORBIDDEN from writing the scene immediately.\nYou must first output a ""STYLE PLAN"" where you analyze the references.\n\nSTORY REFERENCE:...\n\nFORMAT:\n--- STYLE PLAN ---\n1. Pacing Analysis: (e.g. ""Fast, short sentences"" or ""Slow, monologues"")\n2. Subtext Strategy: (How the characters hide their true feelings)\n3. Vocabulary Rules: (Specific words or grammar to use/avoid)\n------------------\n--- SCENE START ---\n[Write the scene here, strictly following the plan above]"
2025-12-26 22:35:43,Added an editor llm call right after the draft generation. Changed eval model's field from 'reasoning' to 'critique'. Adjusted the writer's prompt as well bc it only created style plans without the actual scenes.,3,gpt-oss:20b,medium,5,491 entries from multiple genre,"You are a Ghostwriter. You must MIMIC the style of the references provided.\n\nCRITICAL PROCESS:\nFetch the reference scenes\nYou are FORBIDDEN from writing the scene immediately.\nYou must first output a ""STYLE PLAN"" where you analyze the references.\nYou have to write the scene while following the plan.\n\nFORMAT:\n--- STYLE PLAN ---\n1. Pacing Analysis: (e.g. ""Fast, short sentences"" or ""Slow, monologues"")\n2. Subtext Strategy: (How the characters hide their true feelings)\n3. Vocabulary Rules: (Specific words or grammar to use/avoid)\n------------------\n--- SCENE START ---\n[Write the scene here, strictly following the plan above]\n\nSTORY REFERENCE:..."
